society,property_type,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,puja room,others,furnishing_type,luxury_score
bhawna cghs,flat,sector 43,3.25,10156.0,3200.0,Super Built up area 3200(297.29 sq.m.)Carpet area: 3000 sq.ft. (278.71 sq.m.),4,4,3+,12.0,,Moderately Old,3200.0,,3000.0,0,0,0,0,0,1,119
spaze privy,flat,sector 72,1.9,9620.0,1975.0,Built Up area: 1975 (183.48 sq.m.),3,3,3,10.0,,Undefined,,1975.0,,0,0,0,0,0,0,0
gls arawali homes,flat,sohna road road,0.3,4687.0,640.0,Carpet area: 640 (59.46 sq.m.),2,2,2,4.0,,Relatively New,,,640.0,0,0,0,0,0,0,42
ansal housing highland park,flat,sector 103,2.0,7490.0,2670.0,Super Built up area 2670(248.05 sq.m.),4,5,3+,14.0,,New Property,2670.0,,,0,1,0,0,0,0,45
independent,house,sector 4,2.3,17014.0,1352.0,Plot area 160(133.78 sq.m.),4,4,3,2.0,East,Old Property,,160.0,,0,0,0,0,0,1,15
uppal southend,house,sector 49,6.75,32328.0,2088.0,Built Up area: 232 (193.98 sq.m.),4,4,3,3.0,West,Relatively New,,232.0,,0,1,0,0,0,1,26
independent,house,sector 10a,1.7,18888.0,900.0,Plot area 900(83.61 sq.m.),2,1,2,2.0,East,Old Property,,900.0,,0,0,0,0,1,0,8
tulip violet,flat,sector 69,1.75,8882.0,1970.0,Super Built up area 1970(183.02 sq.m.),4,4,1,12.0,North-West,Relatively New,1970.0,,,0,0,0,0,0,0,86
ireo skyon,flat,sector 60,2.15,23344.0,921.0,Super Built up area 1524(141.58 sq.m.)Built Up area: 1250 sq.ft. (116.13 sq.m.)Carpet area: 921 sq.ft. (85.56 sq.m.),2,3,2,5.0,East,Relatively New,1524.0,1250.0,921.0,0,1,0,0,0,1,49
bestech park view residency,flat,sector 2,1.18,7539.0,1565.0,Super Built up area 1565(145.39 sq.m.),2,2,3,5.0,East,Old Property,1565.0,,,1,0,0,0,0,0,76
m3m sierra 68,flat,sector 68,1.13,9076.0,1245.0,Super Built up area 1245(115.66 sq.m.)Built Up area: 1130 sq.ft. (104.98 sq.m.)Carpet area: 930 sq.ft. (86.4 sq.m.),2,2,3,9.0,West,Relatively New,1245.0,1130.0,930.0,0,0,0,0,0,1,149
dlf regal gardens,flat,sector 90,1.76,7945.0,2215.0,Super Built up area 2215(205.78 sq.m.)Built Up area: 2020 sq.ft. (187.66 sq.m.)Carpet area: 1670 sq.ft. (155.15 sq.m.),4,4,3+,8.0,North,Relatively New,2215.0,2020.0,1670.0,0,0,0,0,0,1,135
dlf city plots,house,sector 26,13.5,29880.0,4518.0,Plot area 502(419.74 sq.m.),5,5,2,2.0,East,Moderately Old,,4518.0,,1,1,0,0,1,1,104
pyramid urban,flat,sector 67a,0.7,11844.0,591.0,Carpet area: 591 (54.91 sq.m.),2,2,1,14.0,North,New Property,,,591.0,0,0,0,0,0,0,44
signature global park,flat,sohna road road,0.53,6386.0,830.0,Carpet area: 822 (76.37 sq.m.),2,2,2,2.0,North-East,Relatively New,,,822.0,0,0,0,0,0,0,168
capital residences 360,flat,sector 70a,1.1,7586.0,1450.0,Super Built up area 1450(134.71 sq.m.),2,2,3+,8.0,,New Property,1450.0,,,0,0,0,0,0,0,60
smart world gems,flat,sector 89,1.2,8432.0,1423.0,Carpet area: 1423 (132.2 sq.m.),3,3,2,2.0,North-East,New Property,,,1423.0,0,0,0,0,0,0,44
tulip ivory,flat,sector 70,5.0,10416.0,4800.0,Carpet area: 4800 (445.93 sq.m.),6,7,3+,0.0,,Relatively New,,,4800.0,1,1,0,0,0,0,119
signature global city 81,flat,sector 81,0.96,9767.0,983.0,Carpet area: 1075 (99.87 sq.m.),2,2,2,1.0,,Under Construction,,,1075.0,0,0,0,0,0,0,49
sahara grace,flat,sector 28,4.3,12420.0,3462.0,Super Built up area 3462.01(321.63 sq.m.),3,4,3,5.0,,Old Property,3462.01,,,0,1,1,0,0,0,24
sobha smriti apartments,flat,sector 56,0.5,8333.0,600.0,Carpet area: 600 (55.74 sq.m.),1,1,2,3.0,,Undefined,,,600.0,0,0,0,0,0,0,0
sushant lok 1 builder floors,house,sector 43,6.25,30728.0,2034.0,Plot area 226(188.96 sq.m.),7,7,3+,3.0,North,Moderately Old,,2034.0,,1,1,1,0,0,0,46
independent,house,sector 1,1.85,16003.0,1156.0,Carpet area: 1156 (107.4 sq.m.),4,3,2,3.0,,Undefined,,,1156.0,0,0,0,0,0,0,0
paras dews,flat,sector 106,1.15,6534.0,1760.0,Super Built up area 1760(163.51 sq.m.)Built Up area: 1186 sq.ft. (110.18 sq.m.)Carpet area: 1130 sq.ft. (104.98 sq.m.),3,4,3+,12.0,East,Relatively New,1760.0,1186.0,1130.0,1,1,0,0,0,1,174
sector 14 rwa,house,sector 14,6.5,26000.0,2500.0,Plot area 2500(232.26 sq.m.),5,5,0,4.0,,Moderately Old,,2500.0,,0,0,0,0,0,0,0
ansal sushant lok,house,sector 43,10.5,27911.0,3762.0,Plot area 418(349.5 sq.m.),4,4,2,,North-East,Old Property,,3762.0,,0,1,0,0,0,0,59
capital residences 360,flat,sector 70a,1.55,7844.0,1976.0,Super Built up area 1976(183.58 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,3,8.0,South,Relatively New,1976.0,1600.0,1400.0,1,1,0,0,1,0,42
m3m heights,flat,sector 65,2.0,13957.0,1433.0,Built Up area: 1433 (133.13 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),2,2,2,32.0,,Undefined,,1433.0,1000.0,0,0,0,0,0,0,48
raheja revanta,flat,sector 78,1.2,10018.0,1198.0,Super Built up area 1197.8(111.28 sq.m.)Carpet area: 505 sq.ft. (46.92 sq.m.),1,2,2,32.0,,Under Construction,1197.8,,505.0,0,0,0,0,0,0,39
emaar mgf the palm drive,flat,sector 66,4.6,18400.0,2500.0,Super Built up area 3300(306.58 sq.m.)Carpet area: 2500 sq.ft. (232.26 sq.m.),3,3,3,11.0,North,Relatively New,3300.0,,2500.0,1,1,1,0,0,0,131
parsvnath green ville,flat,sector 48,1.42,8606.0,1650.0,Super Built up area 1650(153.29 sq.m.),3,3,3,1.0,North-West,Moderately Old,1650.0,,,0,0,1,0,0,2,174
assotech blith,flat,sector 99,0.82,6007.0,1365.0,Built Up area: 1365 (126.81 sq.m.),2,2,3,0.0,,Undefined,,1365.0,,0,0,0,0,0,0,51
suncity vatsal valley,flat,gwal pahari,1.53,10699.0,1430.0,Carpet area: 1430 (132.85 sq.m.),3,3,3,2.0,North-East,New Property,,,1430.0,0,0,0,0,0,1,117
international city by sobha phase 1,house,sector 109,5.5,21605.0,2546.0,Plot area 270(225.75 sq.m.),4,4,3+,2.0,North-East,New Property,,2430.0,,0,1,0,0,0,0,61
breez global heights,flat,sohna road road,0.25,7002.0,357.0,Super Built up area 414(38.46 sq.m.)Carpet area: 357 sq.ft. (33.17 sq.m.),1,1,1,1.0,,Relatively New,414.0,,357.0,0,0,0,0,0,0,57
paras dews,flat,sector 106,1.0,7220.0,1385.0,Super Built up area 1385(128.67 sq.m.)Built Up area: 940 sq.ft. (87.33 sq.m.)Carpet area: 845 sq.ft. (78.5 sq.m.),2,2,3+,2.0,North-East,New Property,1385.0,940.0,845.0,0,0,0,0,0,1,21
emaar imperial gardens,flat,sector 102,1.91,9550.0,2000.0,Super Built up area 2000(185.81 sq.m.)Carpet area: 1228.17 sq.ft. (114.1 sq.m.),3,4,2,17.0,East,Relatively New,2000.0,,1228.17,1,1,0,0,0,1,152
emaar gurgaon greens,flat,sector 102,1.42,8606.0,1650.0,Super Built up area 1650(153.29 sq.m.)Carpet area: 1022 sq.ft. (94.95 sq.m.),3,3,3,4.0,North,Relatively New,1650.0,,1022.0,0,0,0,0,1,0,49
vatika gurgaon,flat,sector 83,1.25,6313.0,1980.0,Super Built up area 1980(183.95 sq.m.)Built Up area: 1700 sq.ft. (157.94 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,2,12.0,North,Moderately Old,1980.0,1700.0,1400.0,0,1,0,0,0,0,95
godrej icon,flat,sector 88a,1.62,10018.0,1617.0,Super Built up area 1617(150.22 sq.m.),3,2,3+,10.0,East,Relatively New,1617.0,,,1,0,0,0,0,2,49
imperia the esfera,flat,sector 37c,0.7,4879.0,1435.0,Super Built up area 1435(133.32 sq.m.),2,3,3+,12.0,North,Under Construction,1435.0,,,1,0,0,0,1,0,58
4s aradhya homes,house,sector 67a,1.83,6778.0,2700.0,Plot area 300(250.84 sq.m.),4,4,2,4.0,East,New Property,,2700.0,,0,0,0,0,0,1,145
independent,house,sector 2,19.5,27083.0,7200.0,Plot area 800(668.9 sq.m.),8,9,3+,2.0,North,New Property,,7200.0,,1,1,0,0,0,0,122
ramprastha the edge towers,flat,sector 37d,1.1,5528.0,1990.0,Built Up area: 1990 (184.88 sq.m.),3,3,3,9.0,,Undefined,,1990.0,,0,0,0,0,0,0,63
independent,house,sector 17,9.5,23457.0,4050.0,Plot area 502(419.74 sq.m.)Built Up area: 500 sq.yards (418.06 sq.m.)Carpet area: 450 sq.yards (376.26 sq.m.),8,8,3,3.0,West,Relatively New,,500.0,450.0,1,0,0,0,0,1,27
independent,house,sector 45,16.0,35003.0,4571.0,Plot area 500(418.06 sq.m.),6,7,3+,3.0,East,Relatively New,,4500.0,,1,1,1,0,0,1,105
ss,flat,sector 85,2.17,7716.0,2812.0,Super Built up area 2812(261.24 sq.m.)Built Up area: 2600 sq.ft. (241.55 sq.m.)Carpet area: 2400 sq.ft. (222.97 sq.m.),4,4,3,7.0,North,Relatively New,2812.0,2600.0,2400.0,1,1,0,0,0,0,49
paras dews,flat,sector 106,1.15,6052.0,1900.0,Super Built up area 1900(176.52 sq.m.)Built Up area: 1305 sq.ft. (121.24 sq.m.)Carpet area: 1173 sq.ft. (108.98 sq.m.),3,4,3,5.0,North-West,Relatively New,1900.0,1305.0,1173.0,1,1,0,0,0,0,49
vatika gurgaon,flat,sector 83,0.87,6987.0,1245.0,Super Built up area 1245(115.66 sq.m.),2,2,2,3.0,East,Moderately Old,1245.0,,,0,0,0,0,0,0,35
shree balaji appartment,flat,sector 33,0.4,5000.0,800.0,Super Built up area 800(74.32 sq.m.),2,2,2,1.0,,Relatively New,800.0,,,0,0,0,0,0,2,0
ireo victory valley,flat,sector 67,3.49,13000.0,2685.0,Carpet area: 2452 (227.8 sq.m.),3,3,3,19.0,South-East,Relatively New,,,2452.0,0,1,0,0,0,0,103
la vida by tata housing,flat,sector 113,1.93,12222.0,1579.0,Super Built up area 1579(146.69 sq.m.),3,3,2,8.0,,Under Construction,1579.0,,,0,0,0,0,0,0,71
signature global the millennia,flat,sector 37d,0.65,10906.0,596.0,Super Built up area 650(60.39 sq.m.)Carpet area: 596 sq.ft. (55.37 sq.m.),2,2,3,0.0,,New Property,650.0,,596.0,0,0,0,0,0,0,40
aipl joy square,flat,sector 63a,0.7,10101.0,693.0,Built Up area: 693 (64.38 sq.m.)Carpet area: 350 sq.ft. (32.52 sq.m.),1,1,0,7.0,,Undefined,,693.0,350.0,0,0,0,0,0,0,0
pareena coban residences,flat,sector 99a,1.6,8000.0,2000.0,Super Built up area 2000(185.81 sq.m.),3,3,3,6.0,,Under Construction,2000.0,,,0,0,0,0,0,0,0
m3m sierra 68,flat,sector 68,1.08,8674.0,1245.0,Super Built up area 1245(115.66 sq.m.)Built Up area: 1130 sq.ft. (104.98 sq.m.)Carpet area: 930 sq.ft. (86.4 sq.m.),2,2,3,1.0,West,Relatively New,1245.0,1130.0,930.0,0,0,0,0,0,1,149
hsiidc sidco aravali,flat,manesar,0.9,3477.0,2588.0,Super Built up area 2588(240.43 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.),3,3,3+,8.0,East,Moderately Old,2588.0,1900.0,,0,1,0,0,0,0,23
shapoorji pallonji joyville gurugram,flat,sector 102,1.9,10259.0,1852.0,Super Built up area 1852(172.06 sq.m.)Built Up area: 1700 sq.ft. (157.94 sq.m.)Carpet area: 1450 sq.ft. (134.71 sq.m.),3,3,3+,15.0,North-East,New Property,1852.0,1700.0,1450.0,0,0,0,0,0,0,174
tata primanti,flat,sector 72,3.5,11428.0,3063.0,Built Up area: 2625 (243.87 sq.m.),4,5,3+,16.0,East,Relatively New,,2625.0,,0,1,0,0,1,0,31
godrej nature plus,flat,sector 33 road,1.5,9677.0,1550.0,Super Built up area 1550(144 sq.m.),3,3,3,6.0,East,Under Construction,1550.0,,,1,0,0,0,0,0,72
ansals palam vihar,house,sector 2,5.0,12500.0,4000.0,Built Up area: 4000 (371.61 sq.m.),6,4,0,3.0,,Undefined,,4000.0,,0,0,0,0,0,0,0
vatika lifestyle homes,flat,sector 83,1.05,7500.0,1400.0,Super Built up area 1755(163.04 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,2,2,1.0,South-West,Moderately Old,1755.0,1600.0,1400.0,0,0,0,0,0,1,106
smart world gems,flat,sector 89,1.71,12000.0,1425.0,Built Up area: 1423 (132.2 sq.m.),3,2,0,3.0,,Undefined,,1423.0,,0,0,0,0,0,0,45
breez global heights,flat,sohna road road,0.39,4105.0,950.0,Super Built up area 950(88.26 sq.m.)Built Up area: 720 sq.ft. (66.89 sq.m.)Carpet area: 610 sq.ft. (56.67 sq.m.),2,2,2,3.0,,Relatively New,950.0,720.0,610.0,0,0,0,0,0,0,0
guru gram haryana cghs,flat,sector 56,1.39,8424.0,1650.0,Super Built up area 1850(171.87 sq.m.)Built Up area: 1750 sq.ft. (162.58 sq.m.)Carpet area: 1650 sq.ft. (153.29 sq.m.),3,2,3,6.0,South,Old Property,1850.0,1750.0,1650.0,0,1,0,0,0,1,89
alpha corp gurgaonone,flat,sector 84,0.85,6692.0,1270.0,Super Built up area 1270(117.99 sq.m.)Carpet area: 1050 sq.ft. (97.55 sq.m.),2,2,3,6.0,West,Relatively New,1270.0,,1050.0,0,0,0,0,0,1,28
vatika the seven lamps,flat,sector 82,1.0,6969.0,1435.0,Super Built up area 1435(133.32 sq.m.),2,2,2,14.0,,Relatively New,1435.0,,,1,0,0,0,1,0,69
experion the heartsong,flat,sector 108,0.97,9238.0,1050.0,Carpet area: 1050 (97.55 sq.m.),2,2,3,10.0,North-East,Relatively New,,,1050.0,0,1,0,0,0,0,165
dlf the ultima,flat,sector 81,2.3,14375.0,1600.0,Super Built up area 2132(198.07 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),3,4,3+,18.0,North-East,Relatively New,2132.0,,1600.0,0,1,0,0,0,2,174
independent,house,sector 14,3.5,18088.0,1935.0,Plot area 215(179.77 sq.m.)Built Up area: 214 sq.yards (178.93 sq.m.)Carpet area: 180 sq.yards (150.5 sq.m.),6,4,2,2.0,West,Old Property,,214.0,180.0,0,0,0,0,1,1,27
shree vardhman victoria,flat,sector 70,1.55,7948.0,1950.0,Super Built up area 1950(181.16 sq.m.)Carpet area: 1161 sq.ft. (107.86 sq.m.),3,5,3,8.0,South,Relatively New,1950.0,,1161.0,0,1,0,0,0,0,174
unitech aspen greens,house,sector 50,7.0,32407.0,2160.0,Plot area 240(200.67 sq.m.),4,4,2,2.0,East,Old Property,,2160.0,,0,1,0,0,0,0,29
tulip violet,flat,sector 69,2.0,9950.0,2010.0,Super Built up area 2010(186.74 sq.m.),4,4,2,0.0,West,Relatively New,2010.0,,,0,0,0,0,0,0,95
krrish florence estate,flat,sector 70,1.65,7764.0,2125.0,Super Built up area 2125(197.42 sq.m.),3,4,3+,27.0,North-East,New Property,2125.0,,,1,1,0,0,0,0,81
supertech araville,flat,sector 79,0.78,6023.0,1295.0,Super Built up area 1295(120.31 sq.m.),2,2,3+,17.0,,Relatively New,1295.0,,,0,0,0,0,0,0,24
shapoorji pallonji joyville gurugram,flat,sector 102,1.05,11475.0,915.0,Carpet area: 915 (85.01 sq.m.),2,2,2,0.0,,Under Construction,,,915.0,0,0,0,0,0,0,49
unitech espace,house,sector 50,7.5,34722.0,2160.0,Plot area 240(200.67 sq.m.)Built Up area: 241 sq.yards (201.51 sq.m.)Carpet area: 240 sq.yards (200.67 sq.m.),3,3,2,2.0,West,Moderately Old,,241.0,240.0,0,1,0,0,0,1,66
vatika the seven lamps,flat,sector 82,1.39,6412.0,2168.0,Super Built up area 2160(200.67 sq.m.),3,3,3+,11.0,East,Relatively New,2160.0,,,1,1,0,0,0,1,117
palam vihar extension west zone rwa,house,sector 2,0.65,5777.0,1125.0,Plot area 1125(104.52 sq.m.),2,2,1,1.0,North,Moderately Old,,1125.0,,0,0,1,0,0,0,23
vatika sovereign park,flat,sector 99,3.25,9672.0,3360.0,Super Built up area 3360(312.15 sq.m.),4,4,3+,2.0,,New Property,3360.0,,,0,1,0,0,0,0,123
gls arawali homes,flat,sohna road road,0.28,5982.0,468.0,Carpet area: 468 (43.48 sq.m.),2,2,2,3.0,,Relatively New,,,468.0,0,0,0,0,0,0,42
emaar gurgaon greens,flat,sector 102,1.42,8606.0,1650.0,Super Built up area 1650(153.29 sq.m.)Carpet area: 1022.58 sq.ft. (95 sq.m.),3,3,3,7.0,East,Relatively New,1650.0,,1022.58,0,1,0,0,0,0,128
m3m woodshire,flat,sector 107,0.8,5856.0,1366.0,Super Built up area 1366(126.91 sq.m.)Carpet area: 1055 sq.ft. (98.01 sq.m.),2,2,3+,6.0,West,Relatively New,1366.0,,1055.0,0,0,0,0,0,1,174
independent,house,sector 50,10.56,32593.0,3240.0,Plot area 360(301.01 sq.m.),5,5,3,3.0,,Moderately Old,,3240.0,,0,1,0,0,0,0,20
independent,house,sector 23,5.0,16244.0,3078.0,Plot area 342(285.96 sq.m.),4,4,2,2.0,East,Old Property,,3078.0,,0,0,0,0,0,0,7
ats tourmaline,flat,sector 109,1.45,6744.0,2150.0,Super Built up area 2150(199.74 sq.m.)Built Up area: 1797 sq.ft. (166.95 sq.m.)Carpet area: 1660 sq.ft. (154.22 sq.m.),3,4,3+,4.0,North-West,Relatively New,2150.0,1797.0,1660.0,0,1,0,0,0,0,71
dlf regal gardens,flat,sector 90,1.25,6459.0,1935.0,Super Built up area 1703(158.21 sq.m.)Built Up area: 1650 sq.ft. (153.29 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),3,3,3,10.0,South,Relatively New,1703.0,1650.0,1600.0,0,0,0,0,1,1,38
eldeco mansionz,house,sector 48,6.0,22222.0,2700.0,Plot area 300(250.84 sq.m.),4,4,3+,2.0,East,Moderately Old,,2700.0,,0,1,0,0,0,0,69
proxima tower,flat,sector 37c,0.6,4602.0,1304.0,Super Built up area 1304(121.15 sq.m.),2,2,3,5.0,,Under Construction,1304.0,,,1,0,0,0,0,0,55
dlf the ultima,flat,sector 81,2.25,10755.0,2092.0,Super Built up area 2092(194.35 sq.m.)Built Up area: 2090 sq.ft. (194.17 sq.m.)Carpet area: 2087 sq.ft. (193.89 sq.m.),3,4,3+,11.0,West,Relatively New,2092.0,2090.0,2087.0,0,1,0,0,0,2,174
central park flower valley,flat,sector 33 road,1.55,11923.0,1300.0,Carpet area: 1300 (120.77 sq.m.),3,3,3+,7.0,North-East,New Property,,,1300.0,0,0,0,0,0,1,28
dlf express greens,flat,manesar,1.2,6505.0,1845.0,Super Built up area 1845(171.41 sq.m.),3,4,2,5.0,East,Relatively New,1845.0,,,0,1,0,0,1,0,43
smart world one dxp,flat,sector 113,3.45,13269.0,2600.0,Super Built up area 2600(241.55 sq.m.),4,4,3,11.0,South-East,Under Construction,2600.0,,,1,1,0,0,0,0,156
godrej summit,flat,sector 104,0.85,5878.0,1446.0,Super Built up area 1446(134.34 sq.m.)Built Up area: 1269 sq.ft. (117.89 sq.m.)Carpet area: 777 sq.ft. (72.19 sq.m.),2,2,3+,10.0,East,Relatively New,1446.0,1269.0,777.0,1,0,0,0,0,0,79
,flat,sector 78,0.6,3692.0,1625.0,Built Up area: 1625 (150.97 sq.m.),2,2,0,,,Under Construction,,1625.0,,0,0,0,0,0,0,0
ansal housing highland park,flat,sector 103,0.8,5878.0,1361.0,Super Built up area 1361(126.44 sq.m.)Built Up area: 1089 sq.ft. (101.17 sq.m.)Carpet area: 705 sq.ft. (65.5 sq.m.),2,2,3,3.0,East,New Property,1361.0,1089.0,705.0,0,0,0,0,0,0,174
independent,house,sector 11,0.9,10000.0,900.0,Plot area 900(83.61 sq.m.),7,4,3+,4.0,,Moderately Old,,900.0,,0,0,0,0,0,0,7
ss the leaf,flat,sector 85,2.13,7574.0,2812.0,Super Built up area 2812(261.24 sq.m.)Built Up area: 2600 sq.ft. (241.55 sq.m.)Carpet area: 2200 sq.ft. (204.39 sq.m.),4,4,3,2.0,North,Relatively New,2812.0,2600.0,2200.0,0,0,0,0,0,0,49
emaar mgf the palm drive,flat,sector 66,2.99,14950.0,2000.0,Super Built up area 2000(185.81 sq.m.)Built Up area: 1800 sq.ft. (167.23 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),3,3,3,7.0,East,Relatively New,2000.0,1800.0,1500.0,0,1,0,0,0,1,49
spaze privy at,flat,sector 84,1.35,9642.0,1400.0,Super Built up area 1918(178.19 sq.m.)Built Up area: 1750 sq.ft. (162.58 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,3,7.0,South-East,Relatively New,1918.0,1750.0,1400.0,0,0,0,0,0,0,90
valley view estate,flat,gwal pahari,1.5,7489.0,2003.0,Super Built up area 2000(185.81 sq.m.)Built Up area: 1850 sq.ft. (171.87 sq.m.)Carpet area: 1650 sq.ft. (153.29 sq.m.),4,4,3+,10.0,North-East,Moderately Old,2000.0,1850.0,1650.0,0,0,0,0,0,0,58
emaar gurgaon greens,flat,sector 102,1.6,9696.0,1650.0,Super Built up area 1650(153.29 sq.m.)Carpet area: 1022.58 sq.ft. (95 sq.m.),3,3,3,8.0,,Relatively New,1650.0,,1022.58,0,0,0,0,0,0,46
international city by sobha phase 2,house,sector 109,7.0,12963.0,5400.0,Plot area 600(501.68 sq.m.),5,6,2,2.0,West,Relatively New,,5400.0,,0,1,0,0,0,0,154
parkwood westend,flat,sector 92,0.7,5204.0,1345.0,Super Built up area 1345(124.95 sq.m.),2,2,3,5.0,,Under Construction,1345.0,,,1,0,0,0,0,0,0
vatika the seven lamps,flat,sector 82,0.81,6192.0,1308.0,Super Built up area 1300(120.77 sq.m.),2,2,2,15.0,West,Relatively New,1300.0,,,0,0,0,0,0,1,117
central park flower valley,flat,sector 33 road,1.4,21538.0,650.0,Super Built up area 650(60.39 sq.m.),3,3,3,2.0,,Under Construction,650.0,,,0,0,0,0,0,0,54
independent,house,sector 24,1.45,2984.0,4860.0,Plot area 60(50.17 sq.m.),3,3,1,,,Old Property,,540.0,,0,0,0,0,0,0,9
trisara our homes 3,flat,sohna road road,0.38,6312.0,602.0,Built Up area: 602 (55.93 sq.m.),2,2,2,1.0,,Undefined,,602.0,,0,0,0,0,0,0,0
vatika city,flat,sector 49,1.98,9074.0,2182.0,Super Built up area 2182(202.71 sq.m.)Built Up area: 1750.75 sq.ft. (162.65 sq.m.)Carpet area: 1670 sq.ft. (155.15 sq.m.),3,4,3,9.0,South-East,Moderately Old,2182.0,1750.75,1670.0,0,1,0,0,0,1,101
pareena coban residences,flat,sector 99a,1.02,8793.0,1160.0,Super Built up area 1550(144 sq.m.)Built Up area: 1430 sq.ft. (132.85 sq.m.)Carpet area: 1160 sq.ft. (107.77 sq.m.),2,2,3,3.0,North,Relatively New,1550.0,1430.0,1160.0,1,0,0,0,0,0,174
vatika the seven lamps,flat,sector 82,0.94,6567.0,1431.0,Super Built up area 1435(133.32 sq.m.),2,2,2,12.0,East,Relatively New,1435.0,,,1,0,0,0,0,1,103
bestech park view ananda,flat,sector 81,1.15,6927.0,1660.0,Super Built up area 1660(154.22 sq.m.)Carpet area: 1282 sq.ft. (119.1 sq.m.),3,2,3+,6.0,South,Relatively New,1660.0,,1282.0,1,0,0,0,0,1,104
breez global hill view,flat,sohna road road,0.3,5124.0,585.0,Carpet area: 585.41 (54.39 sq.m.),2,2,1,11.0,North,New Property,,,585.448521,0,0,0,0,0,0,91
sare green parc phase 3,flat,sector 92,0.95,4856.0,1956.0,Super Built up area 1956(181.72 sq.m.),4,3,3,4.0,North,Moderately Old,1956.0,,,0,0,0,0,0,0,67
sidhartha ncr one phase,flat,sector 95,0.46,4646.0,990.0,Built Up area: 990 (91.97 sq.m.),2,2,0,6.0,,Undefined,,990.0,,0,0,0,0,0,0,0
vatika the seven lamps,flat,sector 82,0.94,6533.0,1439.0,Super Built up area 1435(133.32 sq.m.),2,2,3+,9.0,North,Relatively New,1435.0,,,1,0,0,0,0,1,117
mahindra luminare,flat,sector 59,5.8,19173.0,3025.0,Carpet area: 3025 (281.03 sq.m.),3,4,3,16.0,North-East,New Property,,,3025.0,0,1,0,0,0,1,49
ss the leaf,flat,sector 85,1.85,7682.0,2408.0,Super Built up area 2408(223.71 sq.m.),3,4,3,2.0,North,Relatively New,2408.0,,,1,1,0,0,0,1,49
la vida by tata housing,flat,sector 113,1.75,10489.0,1668.0,Super Built up area 1573(146.14 sq.m.),2,2,3,10.0,East,Relatively New,1573.0,,,1,0,0,0,0,0,93
independent,house,sector 3,3.5,9210.0,3800.0,Built Up area: 3800 (353.03 sq.m.),1,1,0,1.0,,Undefined,,3800.0,,0,0,0,0,0,0,0
sapphire eighty three,flat,sector 83,0.4,8547.0,468.0,Carpet area: 468 (43.48 sq.m.),1,1,1,6.0,North-East,Relatively New,,,468.0,0,0,0,0,0,2,52
vatika india next,flat,sector 82,0.8,6426.0,1245.0,Carpet area: 1245 (115.66 sq.m.),2,2,3,9.0,,Undefined,,,1245.0,0,0,0,0,0,0,0
ansal sushant residency,house,sector 57,4.6,17037.0,2700.0,Plot area 300(250.84 sq.m.),6,6,3,3.0,East,Old Property,,2700.0,,1,1,1,0,0,2,102
experion the heartsong,flat,sector 108,1.7,8487.0,2003.0,Super Built up area 2003(186.08 sq.m.)Built Up area: 1500.29 sq.ft. (139.38 sq.m.)Carpet area: 1140.98 sq.ft. (106 sq.m.),3,4,3+,14.0,South-East,Relatively New,2003.0,1500.29,1140.98,0,1,0,0,0,0,119
sector 57 huda,house,sector 57,3.8,26063.0,1458.0,Plot area 162(135.45 sq.m.)Built Up area: 162 sq.yards (135.45 sq.m.)Carpet area: 160 sq.yards (133.78 sq.m.),8,8,3+,4.0,East,Relatively New,,162.0,160.0,0,0,1,0,0,1,94
m3m skywalk,flat,sector 74,1.47,10954.0,1342.0,Super Built up area 1415(131.46 sq.m.),2,2,3,26.0,,New Property,1415.0,,,0,0,0,0,0,1,31
dlf new town heights,flat,sector 86,1.3,6735.0,1930.0,Super Built up area 1930(179.3 sq.m.),3,3,3,12.0,North,Moderately Old,1930.0,,,0,1,0,0,0,1,165
signature global city 63a,house,sector 63,1.5,6289.0,2385.0,Built Up area: 2385 (221.57 sq.m.),3,3,2,1.0,,New Property,,2385.0,,0,0,0,0,0,0,0
umang monsoon breeze,flat,sector 78,0.7,5719.0,1224.0,Built Up area: 1224 (113.71 sq.m.),2,2,2,5.0,,Undefined,,1224.0,,0,0,0,0,0,0,0
tulip violet,flat,sector 69,1.75,8883.0,1970.0,Super Built up area 1970(183.02 sq.m.),4,4,1,12.0,North-West,Relatively New,1970.0,,,0,0,0,0,0,0,86
m3m skywalk,flat,sector 74,2.7,13379.0,2018.0,Super Built up area 2018(187.48 sq.m.),3,3,3,13.0,,New Property,2018.0,,,0,0,1,0,0,0,92
